,Alpha,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,Xreal
1966,0.7621999648807244,0.8000738045783482,-0.15,0.05,-0.0014344277334413054,-0.03529657964272845,-0.0001470437636789242,0.03787383969762381
1967,0.7621999648807244,0.799554634421126,-0.15,0.15,-0.0013953713364726044,-0.03510177219859307,-0.012688970474352135,0.037354669540401564
1968,0.6631545430299106,0.6631545430299106,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1969,0.6631545430299106,0.6631545430299106,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1970,0.6631545430299106,0.8001587432545318,-0.15,0.05,-0.018770150879188104,-0.08237141094657449,-0.00756973085672598,0.13700420022462123
1971,0.6631545430299106,0.7995587738251987,-0.15,0.15,-0.018606114178854216,-0.08202738341744065,-0.00018484494026779305,0.13640423079528807
1972,0.6864936556330925,0.6864936556330925,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1973,0.6864936556330925,0.6864936556330925,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1974,0.6864936556330925,0.7998975102901194,-0.15,0.05,-0.01286043425107207,-0.06938159064818014,-0.004020048785369385,0.11340385465702685
1975,0.6864936556330925,0.8006178189040456,-0.15,0.15,-0.013024324642295158,-0.0697615736235811,-0.0012870756610092306,0.1141241632709531
1976,0.6860393110279959,0.6860393110279959,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1977,0.6860393110279959,0.6860393110279959,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1978,0.6860393110279959,0.8005408860468252,-0.15,0.05,-0.013110610681792593,-0.06996108318744139,-0.004160453179909662,0.1145015750188293
1979,0.6860393110279959,0.8001344245701385,-0.15,0.15,-0.01301769493419442,-0.06974622899683722,-0.0012891608715516287,0.11409511354214263
1980,0.6570688114897658,0.6570688114897658,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1981,0.6570688114897658,0.6570688114897658,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1982,0.6570688114897658,0.7994878278536802,-0.15,0.05,-0.02028317622206492,-0.08550888113123925,-0.008541274585673478,0.1424190163639144
1983,0.6570688114897658,0.7997441848420698,-0.15,0.15,-0.020356262161219326,-0.08565887416691052,-5.365015552813888e-05,0.14267537335230396
1984,0.798195159880055,0.8003388294489763,-0.05,0.05,-4.595319220719291e-06,-0.002718962276112851,-0.002290228362328588,0.0021436695689213137
1985,0.798195159880055,0.7999058525366162,-0.05,0.15,-2.926469365212443e-06,-0.0026739957350213335,-0.02198971867239685,0.001710692656561208
1986,0.798195159880055,0.7997736234704126,-0.15,0.05,-2.4915473060846877e-06,-0.02297603062441337,-0.0023446451882703223,0.001578463590357626
1987,0.798195159880055,0.799924948702531,-0.15,0.15,-2.9921693703628583e-06,-0.023021928816113157,-0.021984055522627565,0.001729788822475986
1988,0.9191330643325186,0.9191330643325186,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1989,0.9191330643325186,0.7999846760790175,-0.05,0.15,-0.014196338423407054,-0.004781499598056936,-0.07244085489945741,-0.11914838825350116
1990,0.9191330643325186,0.9191330643325186,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
1991,0.9191330643325186,0.8004306268773945,-0.15,0.15,-0.014090268657787649,-0.0009795374212504186,-0.0722009998943249,-0.1187024374551241
1992,0.6856675235469953,0.6856675235469953,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1993,0.6856675235469953,0.6856675235469953,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
